start_betriebsstelle,ziel_betriebsstelle,mean_delay,median_delay,number_of_trips
PA,MLX,38.96831501831502,26.083333333333332,91
MLX,ND G,33.54322916666667,14.991666666666667,32
MKI,I  W1,23.970000000000002,24.733333333333334,45
BPA,VBO,22.715567765567766,15.433333333333334,455
PAG,MLX,21.901109410864574,11.666666666666666,1307
HE,BC,20.516780821917806,4.983333333333333,146
MLX,JB,19.913864306784664,14.9,113
KTF,MLX,19.6046875,4.608333333333333,32
ZD,BVSH1,19.545555555555556,17.416666666666668,30
HW Z3,NIFG,18.9296875,1.25,32
ZL H3,SW S12,18.903763440860214,18.733333333333334,31
MFL,NIFG,18.124255952380953,8.133333333333333,112
JB,GMI,17.843010752688173,-0.1,31
JB,K  G,17.560144927536232,11.133333333333333,46
S,BVSH1,17.19242424242424,18.55,33
MLX,BC,16.582367149758454,2.783333333333333,483
BC,HE,16.567738095238095,8.858333333333334,140
NW S32,BVSH1,16.376100628930818,16.55,53
MLX,LATH1,16.34307511737089,3.5083333333333333,142
JB,MLX,16.317982456140353,11.508333333333333,76
OF,BELG,15.77608024691358,6.541666666666666,108
NBN,LG H1,15.646296296296295,10.65,36
OW,STG,15.627272727272729,2.0,33
GMI,BC,15.433788706739525,3.066666666666667,183
HW Z3,HE,15.410588235294119,1.5666666666666667,170
BPA,NIFG,15.282767857142858,5.716666666666667,560
KLSS22,BC,15.00474537037037,2.575,144
MLX,BGTG,14.94543650793651,7.166666666666667,84
PURH3H,ESU,14.924516908212562,15.408333333333333,138
SBJ,H  H3,14.30735294117647,7.541666666666666,136
